VTX, IDX, in_POSITION0.x, in_POSITION0.y, in_POSITION0.z, in_NORMAL0.x, in_NORMAL0.y, in_NORMAL0.z, in_NORMAL0.w, in_TANGENT0.x, in_TANGENT0.y, in_TANGENT0.z, in_TANGENT0.w, in_TEXCOORD0.x, in_TEXCOORD0.y, in_TEXCOORD1.x, in_TEXCOORD1.y
6664, 1933, 0.06333, 0.493, -0.71157, -0.95215, 0.18787, 0.24133, 0.00, 0.24548, 0.00, 0.96924, -1.00, 0.72461, 0.34668, 0.51192, 0.88287
6665, 1735, 0.05795, 0.44781, -0.70966, -0.9707, -0.06018, 0.23303, 0.00, 0.23364, -0.00281, 0.97217, -1.00, 0.72461, 0.37085, 0.51164, 0.86586
6666, 1933, 0.06333, 0.493, -0.71157, -0.95215, 0.18787, 0.24133, 0.00, 0.24548, 0.00, 0.96924, -1.00, 0.72461, 0.34668, 0.51192, 0.88287
6667, 1931, 0.08389, 0.56301, -0.71705, -0.90234, 0.36133, 0.23535, 0.00, 0.25049, -0.00484, 0.96826, -1.00, 0.72461, 0.30811, 0.51197, 0.91014
6668, 1932, 0.0672, 0.56316, -0.78637, -0.92529, 0.35498, 0.13232, 0.00, 0.15222, 0.02844, 0.98779, -1.00, 0.68994, 0.30811, 0.53492, 0.91012
6669, 1826, 0.04343, 0.4901, -0.83495, -0.97656, 0.19775, -0.08704, 0.00, -0.06757, 0.10303, 0.99219, -1.00, 0.66309, 0.34619, 0.5525, 0.88338
6670, 1934, 0.04752, 0.49228, -0.78254, -0.97314, 0.18079, 0.1416, 0.00, 0.15002, 0.03366, 0.98828, -1.00, 0.68896, 0.34668, 0.53543, 0.88286
6671, 1932, 0.0672, 0.56316, -0.78637, -0.92529, 0.35498, 0.13232, 0.00, 0.15222, 0.02844, 0.98779, -1.00, 0.68994, 0.30811, 0.53492, 0.91012
6672, 1933, 0.06333, 0.493, -0.71157, -0.95215, 0.18787, 0.24133, 0.00, 0.24548, 0.00, 0.96924, -1.00, 0.72461, 0.34668, 0.51192, 0.88287
6673, 1932, 0.0672, 0.56316, -0.78637, -0.92529, 0.35498, 0.13232, 0.00, 0.15222, 0.02844, 0.98779, -1.00, 0.68994, 0.30811, 0.53492, 0.91012
6674, 1934, 0.04752, 0.49228, -0.78254, -0.97314, 0.18079, 0.1416, 0.00, 0.15002, 0.03366, 0.98828, -1.00, 0.68896, 0.34668, 0.53543, 0.88286
6675, 1933, 0.06333, 0.493, -0.71157, -0.95215, 0.18787, 0.24133, 0.00, 0.24548, 0.00, 0.96924, -1.00, 0.72461, 0.34668, 0.51192, 0.88287
6676, 1935, 0.04529, 0.44662, -0.78153, -0.98486, -0.08472, 0.14978, 0.00, 0.14709, 0.03757, 0.98828, -1.00, 0.68848, 0.37085, 0.53565, 0.86589
6677, 1735, 0.05795, 0.44781, -0.70966, -0.9707, -0.06018, 0.23303, 0.00, 0.23364, -0.00281, 0.97217, -1.00, 0.72461, 0.37085, 0.51164, 0.86586
6678, 1933, 0.06333, 0.493, -0.71157, -0.95215, 0.18787, 0.24133, 0.00, 0.24548, 0.00, 0.96924, -1.00, 0.72461, 0.34668, 0.51192, 0.88287
6679, 1934, 0.04752, 0.49228, -0.78254, -0.97314, 0.18079, 0.1416, 0.00, 0.15002, 0.03366, 0.98828, -1.00, 0.68896, 0.34668, 0.53543, 0.88286
6680, 1935, 0.04529, 0.44662, -0.78153, -0.98486, -0.08472, 0.14978, 0.00, 0.14709, 0.03757, 0.98828, -1.00, 0.68848, 0.37085, 0.53565, 0.86589
6681, 1935, 0.04529, 0.44662, -0.78153, -0.98486, -0.08472, 0.14978, 0.00, 0.14709, 0.03757, 0.98828, -1.00, 0.68848, 0.37085, 0.53565, 0.86589
6682, 1934, 0.04752, 0.49228, -0.78254, -0.97314, 0.18079, 0.1416, 0.00, 0.15002, 0.03366, 0.98828, -1.00, 0.68896, 0.34668, 0.53543, 0.88286
6683, 1826, 0.04343, 0.4901, -0.83495, -0.97656, 0.19775, -0.08704, 0.00, -0.06757, 0.10303, 0.99219, -1.00, 0.66309, 0.34619, 0.5525, 0.88338
6684, 1739, 0.06377, 0.40136, -0.74411, -0.91797, -0.36401, 0.15747, 0.00, 0.16504, 0.01055, 0.98633, -1.00, 0.70801, 0.396, 0.52248, 0.84791
6685, 1735, 0.05795, 0.44781, -0.70966, -0.9707, -0.06018, 0.23303, 0.00, 0.23364, -0.00281, 0.97217, -1.00, 0.72461, 0.37085, 0.51164, 0.86586
6686, 1935, 0.04529, 0.44662, -0.78153, -0.98486, -0.08472, 0.14978, 0.00, 0.14709, 0.03757, 0.98828, -1.00, 0.68848, 0.37085, 0.53565, 0.86589
6687, 1935, 0.04529, 0.44662, -0.78153, -0.98486, -0.08472, 0.14978, 0.00, 0.14709, 0.03757, 0.98828, -1.00, 0.68848, 0.37085, 0.53565, 0.86589
6688, 1826, 0.04343, 0.4901, -0.83495, -0.97656, 0.19775, -0.08704, 0.00, -0.06757, 0.10303, 0.99219, -1.00, 0.66309, 0.34619, 0.5525, 0.88338
6689, 1767, 0.03901, 0.4424, -0.83277, -0.99951, 0.02037, 0.02802, 0.00, 0.02963, 0.08386, 0.99609, -1.00, 0.66211, 0.37158, 0.55284, 0.86541
6690, 1739, 0.06377, 0.40136, -0.74411, -0.91797, -0.36401, 0.15747, 0.00, 0.16504, 0.01055, 0.98633, -1.00, 0.70801, 0.396, 0.52248, 0.84791
6691, 1935, 0.04529, 0.44662, -0.78153, -0.98486, -0.08472, 0.14978, 0.00, 0.14709, 0.03757, 0.98828, -1.00, 0.68848, 0.37085, 0.53565, 0.86589
6692, 1743, 0.05795, 0.40216, -0.77736, -0.91406, -0.36108, 0.18555, 0.00, 0.18042, 0.0481, 0.98242, -1.00, 0.69092, 0.39502, 0.53402, 0.8486
6693, 1767, 0.03901, 0.4424, -0.83277, -0.99951, 0.02037, 0.02802, 0.00, 0.02963, 0.08386, 0.99609, -1.00, 0.66211, 0.37158, 0.55284, 0.86541
6694, 1743, 0.05795, 0.40216, -0.77736, -0.91406, -0.36108, 0.18555, 0.00, 0.18042, 0.0481, 0.98242, -1.00, 0.69092, 0.39502, 0.53402, 0.8486
6695, 1935, 0.04529, 0.44662, -0.78153, -0.98486, -0.08472, 0.14978, 0.00, 0.14709, 0.03757, 0.98828, -1.00, 0.68848, 0.37085, 0.53565, 0.86589
6696, 1936, 0.27988, 0.66649, 0.65496, 0.27783, 0.93701, -0.21118, 0.00, 0.08313, 0.19568, 0.97705, -1.00, 0.70801, 0.44653, 0.8779, 0.78549
6697, 1937, 0.29272, 0.66666, 0.66225, 0.05411, 0.98096, -0.18628, 0.00, 0.06366, 0.18274, 0.98096, -1.00, 0.7124, 0.44019, 0.87444, 0.79053
6698, 1938, 0.29027, 0.65689, 0.63779, 0.20288, 0.979, -0.02495, 0.00, -0.04138, 0.03403, 0.99854, -1.00, 0.69824, 0.4397, 0.88613, 0.79071
6699, 1939, 0.29195, 0.6692, 0.68311, -0.07336, 0.98779, -0.13818, 0.00, 0.03592, 0.14111, 0.98926, -1.00, 0.72363, 0.44092, 0.86505, 0.7907
6700, 1937, 0.29272, 0.66666, 0.66225, 0.05411, 0.98096, -0.18628, 0.00, 0.06366, 0.18274, 0.98096, -1.00, 0.7124, 0.44019, 0.87444, 0.79053
